N,12863,1300000000000027.000000,0,1,1425441611674268602,B,40000,8
N,12863,1300000000000028.000000,0,2,1425441611775214516,S,40000,5
T,12863,1300000000000027.000000,1300000000000028.000000,3,1425441611775214516,0,40000,5
N,12863,1300000000000029.000000,0,4,1425441611876131633,B,40000,3
N,12863,1300000000000030.000000,0,5,1425441611976804999,S,40000,7
T,12863,1300000000000027.000000,1300000000000030.000000,6,1425441611976804999,0,40000,3
T,12863,1300000000000029.000000,1300000000000030.000000,7,1425441611976804999,0,40000,3
N,12863,1300000000000031.000000,0,8,1425441612077653088,S,40000,7
N,12863,1300000000000032.000000,0,9,1425441612178252095,B,40000,1
T,12863,1300000000000032.000000,1300000000000030.000000,10,1425441612178252095,0,40000,1
N,12863,1300000000000033.000000,0,11,1425441612279033151,B,40000,7
T,12863,1300000000000033.000000,1300000000000031.000000,12,1425441612279033151,0,40000,7
N,12863,1300000000000034.000000,0,13,1425441612379754907,B,40000,10
M,12863,1300000000000034.000000,0,14,1425441612480500878,B,40000,5
X,12863,1300000000000034.000000,0,15,1425441612581285929,B,40000,5
N,12863,1300000000000035.000000,0,16,1425442512596367026,B,40000,8
N,12863,1300000000000036.000000,0,17,1425442512697156936,S,40000,5
T,12863,1300000000000035.000000,1300000000000036.000000,18,1425442512697156936,0,40000,5
N,12863,1300000000000037.000000,0,19,1425442512798075001,B,40000,3
N,12863,1300000000000038.000000,0,20,1425442512898820277,S,40000,7
T,12863,1300000000000035.000000,1300000000000038.000000,21,1425442512898820277,0,40000,3
T,12863,1300000000000037.000000,1300000000000038.000000,22,1425442512898820277,0,40000,3
N,12863,1300000000000039.000000,0,23,1425442512999850908,S,40000,7
N,12863,1300000000000040.000000,0,24,1425442513100415056,B,40000,1
T,12863,1300000000000040.000000,1300000000000038.000000,25,1425442513100415056,0,40000,1
N,12863,1300000000000041.000000,0,26,1425442513201103288,B,40000,7
T,12863,1300000000000041.000000,1300000000000039.000000,27,1425442513201103288,0,40000,7
N,12863,1300000000000042.000000,0,28,1425442513301761895,B,40000,10
M,12863,1300000000000042.000000,0,29,1425442513402436414,B,40000,5
X,12863,1300000000000042.000000,0,30,1425442513503079087,B,40000,5
N,12863,1300000000000043.000000,0,31,1425443413779170363,B,40000,8
N,12863,1300000000000044.000000,0,32,1425443413880376390,S,40000,5
T,12863,1300000000000043.000000,1300000000000044.000000,33,1425443413880376390,0,40000,5
N,12863,1300000000000045.000000,0,34,1425443413981199723,B,40000,3
N,12863,1300000000000046.000000,0,35,1425443414081823562,S,40000,7
T,12863,1300000000000043.000000,1300000000000046.000000,36,1425443414081823562,0,40000,3
T,12863,1300000000000045.000000,1300000000000046.000000,37,1425443414081823562,0,40000,3
N,12863,1300000000000047.000000,0,38,1425443414182941639,S,40000,7
N,12863,1300000000000048.000000,0,39,1425443414283650443,B,40000,1
T,12863,1300000000000048.000000,1300000000000046.000000,40,1425443414283650443,0,40000,1
N,12863,1300000000000049.000000,0,41,1425443414384550478,B,40000,7
T,12863,1300000000000049.000000,1300000000000047.000000,42,1425443414384550478,0,40000,7
N,12863,1300000000000050.000000,0,43,1425443414485432915,B,40000,10
M,12863,1300000000000050.000000,0,44,1425443414586072326,B,40000,5
X,12863,1300000000000050.000000,0,45,1425443414686691253,B,40000,5
N,12863,1300000000000051.000000,0,46,1425444314700383489,B,40000,8
N,12863,1300000000000052.000000,0,47,1425444314801060565,S,40000,5
T,12863,1300000000000051.000000,1300000000000052.000000,48,1425444314801060565,0,40000,5
N,12863,1300000000000053.000000,0,49,1425444314901803037,B,40000,3
N,12863,1300000000000054.000000,0,50,1425444315002305536,S,40000,7
T,12863,1300000000000051.000000,1300000000000054.000000,51,1425444315002305536,0,40000,3
T,12863,1300000000000053.000000,1300000000000054.000000,52,1425444315002305536,0,40000,3
N,12863,1300000000000055.000000,0,53,1425444315103376405,S,40000,7
N,12863,1300000000000056.000000,0,54,1425444315204495103,B,40000,1
T,12863,1300000000000056.000000,1300000000000054.000000,55,1425444315204495103,0,40000,1
N,12863,1300000000000057.000000,0,56,1425444315305531073,B,40000,7
T,12863,1300000000000057.000000,1300000000000055.000000,57,1425444315305531073,0,40000,7
N,12863,1300000000000058.000000,0,58,1425444315406503070,B,40000,10
M,12863,1300000000000058.000000,0,59,1425444315507261370,B,40000,5
X,12863,1300000000000058.000000,0,60,1425444315608036181,B,40000,5
N,12863,1300000000000059.000000,0,61,1425445215644792751,B,40000,8
N,12863,1300000000000060.000000,0,62,1425445215745442615,S,40000,5
T,12863,1300000000000059.000000,1300000000000060.000000,63,1425445215745442615,0,40000,5
N,12863,1300000000000061.000000,0,64,1425445215846204522,B,40000,3
N,12863,1300000000000062.000000,0,65,1425445215946723251,S,40000,7
T,12863,1300000000000059.000000,1300000000000062.000000,66,1425445215946723251,0,40000,3
T,12863,1300000000000061.000000,1300000000000062.000000,67,1425445215946723251,0,40000,3
N,12863,1300000000000063.000000,0,68,1425445216047604962,S,40000,7
N,12863,1300000000000064.000000,0,69,1425445216148145381,B,40000,1
T,12863,1300000000000064.000000,1300000000000062.000000,70,1425445216148145381,0,40000,1
N,12863,1300000000000065.000000,0,71,1425445216249010564,B,40000,7
T,12863,1300000000000065.000000,1300000000000063.000000,72,1425445216249010564,0,40000,7
N,12863,1300000000000066.000000,0,73,1425445216349693674,B,40000,10
M,12863,1300000000000066.000000,0,74,1425445216450197324,B,40000,5
X,12863,1300000000000066.000000,0,75,1425445216550935366,B,40000,5
T,12863,0.000000,0.000000,76,1425447902200400466,0,40100,5
T,12863,0.000000,0.000000,77,1425447902200424410,0,40100,3
N,12863,1300000000000070.000000,0,78,1425447902390826279,S,40100,2
N,12863,1300000000000071.000000,0,79,1425448813322903452,B,40000,8
N,12863,1300000000000072.000000,0,80,1425448813423679078,S,40000,5
T,12863,1300000000000071.000000,1300000000000072.000000,81,1425448813423679078,0,40000,5
N,12863,1300000000000073.000000,0,82,1425448813524420741,B,40000,3
N,12863,1300000000000074.000000,0,83,1425448813625083378,S,40000,7
T,12863,1300000000000071.000000,1300000000000074.000000,84,1425448813625083378,0,40000,3
T,12863,1300000000000073.000000,1300000000000074.000000,85,1425448813625083378,0,40000,3
N,12863,1300000000000075.000000,0,86,1425448813725925688,S,40000,7
N,12863,1300000000000076.000000,0,87,1425448813826628953,B,40000,1
T,12863,1300000000000076.000000,1300000000000074.000000,88,1425448813826628953,0,40000,1
N,12863,1300000000000077.000000,0,89,1425448813927302163,B,40000,7
T,12863,1300000000000077.000000,1300000000000075.000000,90,1425448813927302163,0,40000,7
N,12863,1300000000000078.000000,0,91,1425448814028136981,B,40000,10
M,12863,1300000000000078.000000,0,92,1425448814128783636,B,40000,5
X,12863,1300000000000078.000000,0,93,1425448814229376102,B,40000,5
N,12863,1300000000000079.000000,0,94,1425449713658685882,B,40000,8
N,12863,1300000000000080.000000,0,95,1425449713759476341,S,40000,5
T,12863,1300000000000079.000000,1300000000000080.000000,96,1425449713759476341,0,40000,5
N,12863,1300000000000081.000000,0,97,1425449713860193204,B,40000,3
N,12863,1300000000000082.000000,0,98,1425449713960887413,S,40000,7
T,12863,1300000000000079.000000,1300000000000082.000000,99,1425449713960887413,0,40000,3
T,12863,1300000000000081.000000,1300000000000082.000000,100,1425449713960887413,0,40000,3
N,12863,1300000000000083.000000,0,101,1425449714061824653,S,40000,7
N,12863,1300000000000084.000000,0,102,1425449714162356552,B,40000,1
T,12863,1300000000000084.000000,1300000000000082.000000,103,1425449714162356552,0,40000,1
N,12863,1300000000000085.000000,0,104,1425449714263105088,B,40000,7
T,12863,1300000000000085.000000,1300000000000083.000000,105,1425449714263105088,0,40000,7
N,12863,1300000000000086.000000,0,106,1425449714363874743,B,40000,10
M,12863,1300000000000086.000000,0,107,1425449714464600984,B,40000,5
X,12863,1300000000000086.000000,0,108,1425449714565379674,B,40000,5
N,12863,1300000000000087.000000,0,109,1425450614813674741,B,40000,8
N,12863,1300000000000088.000000,0,110,1425450614914321736,S,40000,5
T,12863,1300000000000087.000000,1300000000000088.000000,111,1425450614914321736,0,40000,5
N,12863,1300000000000089.000000,0,112,1425450615015085554,B,40000,3
N,12863,1300000000000090.000000,0,113,1425450615115690273,S,40000,7
T,12863,1300000000000087.000000,1300000000000090.000000,114,1425450615115690273,0,40000,3
T,12863,1300000000000089.000000,1300000000000090.000000,115,1425450615115690273,0,40000,3
N,12863,1300000000000091.000000,0,116,1425450615216708417,S,40000,7
N,12863,1300000000000092.000000,0,117,1425450615317443187,B,40000,1
T,12863,1300000000000092.000000,1300000000000090.000000,118,1425450615317443187,0,40000,1
N,12863,1300000000000093.000000,0,119,1425450615418162509,B,40000,7
T,12863,1300000000000093.000000,1300000000000091.000000,120,1425450615418162509,0,40000,7
N,12863,1300000000000094.000000,0,121,1425450615518910187,B,40000,10
M,12863,1300000000000094.000000,0,122,1425450615619630112,B,40000,5
X,12863,1300000000000094.000000,0,123,1425450615720393316,B,40000,5
N,12863,1300000000000095.000000,0,124,1425451515722880927,B,40000,8
N,12863,1300000000000096.000000,0,125,1425451515823661804,S,40000,5
T,12863,1300000000000095.000000,1300000000000096.000000,126,1425451515823661804,0,40000,5
N,12863,1300000000000097.000000,0,127,1425451515924480918,B,40000,3
N,12863,1300000000000098.000000,0,128,1425451516025065554,S,40000,7
T,12863,1300000000000095.000000,1300000000000098.000000,129,1425451516025065554,0,40000,3
T,12863,1300000000000097.000000,1300000000000098.000000,130,1425451516025065554,0,40000,3
N,12863,1300000000000099.000000,0,131,1425451516126150644,S,40000,7
N,12863,1300000000000100.000000,0,132,1425451516226730518,B,40000,1
T,12863,1300000000000100.000000,1300000000000098.000000,133,1425451516226730518,0,40000,1
N,12863,1300000000000101.000000,0,134,1425451516327501419,B,40000,7
T,12863,1300000000000101.000000,1300000000000099.000000,135,1425451516327501419,0,40000,7
N,12863,1300000000000102.000000,0,136,1425451516428503287,B,40000,10
M,12863,1300000000000102.000000,0,137,1425451516529059030,B,40000,5
X,12863,1300000000000102.000000,0,138,1425451516629857430,B,40000,5
N,12863,1300000000000103.000000,0,139,1425452416610953934,B,40000,8
N,12863,1300000000000104.000000,0,140,1425452416712023536,S,40000,5
T,12863,1300000000000103.000000,1300000000000104.000000,141,1425452416712023536,0,40000,5
N,12863,1300000000000105.000000,0,142,1425452416812998844,B,40000,3
N,12863,1300000000000106.000000,0,143,1425452416913548726,S,40000,7
T,12863,1300000000000103.000000,1300000000000106.000000,144,1425452416913548726,0,40000,3
T,12863,1300000000000105.000000,1300000000000106.000000,145,1425452416913548726,0,40000,3
N,12863,1300000000000107.000000,0,146,1425452417014511902,S,40000,7
N,12863,1300000000000108.000000,0,147,1425452417115281432,B,40000,1
T,12863,1300000000000108.000000,1300000000000106.000000,148,1425452417115281432,0,40000,1
N,12863,1300000000000109.000000,0,149,1425452417216584352,B,40000,7
T,12863,1300000000000109.000000,1300000000000107.000000,150,1425452417216584352,0,40000,7
N,12863,1300000000000110.000000,0,151,1425452417317667840,B,40000,10
M,12863,1300000000000110.000000,0,152,1425452417418432312,B,40000,5
X,12863,1300000000000110.000000,0,153,1425452417519563564,B,40000,5
N,12863,1300000000000114.000000,0,154,1425453317793338156,B,40000,8
N,12863,1300000000000115.000000,0,155,1425453317893940356,S,40000,5
T,12863,1300000000000114.000000,1300000000000115.000000,156,1425453317893940356,0,40000,5
N,12863,1300000000000116.000000,0,157,1425453317994770161,B,40000,3
N,12863,1300000000000117.000000,0,158,1425453318095276391,S,40000,7
T,12863,1300000000000114.000000,1300000000000117.000000,159,1425453318095276391,0,40000,3
T,12863,1300000000000116.000000,1300000000000117.000000,160,1425453318095276391,0,40000,3
N,12863,1300000000000118.000000,0,161,1425453318196369419,S,40000,7
N,12863,1300000000000119.000000,0,162,1425453318296863566,B,40000,1
T,12863,1300000000000119.000000,1300000000000117.000000,163,1425453318296863566,0,40000,1
N,12863,1300000000000120.000000,0,164,1425453318397634880,B,40000,7
T,12863,1300000000000120.000000,1300000000000118.000000,165,1425453318397634880,0,40000,7
N,12863,1300000000000121.000000,0,166,1425453318498534038,B,40000,10
M,12863,1300000000000121.000000,0,167,1425453318599237769,B,40000,5
X,12863,1300000000000121.000000,0,168,1425453318699748937,B,40000,5
N,12863,1300000000000142.000000,0,169,1425454218630582628,B,40000,8
N,12863,1300000000000143.000000,0,170,1425454218731134999,S,40000,5
T,12863,1300000000000142.000000,1300000000000143.000000,171,1425454218731134999,0,40000,5
N,12863,1300000000000144.000000,0,172,1425454218831863289,B,40000,3
N,12863,1300000000000145.000000,0,173,1425454218932496433,S,40000,7
